 region_name ,Region Name,District Name,Settlement Code, Settlement Name ,Settlement Type, X Coordinates , Y Coordinates ,Absentees (HH) ,Absentees,Absentees between 2015-2018 (HH),Absentees between 2015-2018,Absentees in 2019 (HH),Absentees in 2019,  Residents (HH)  ,  Residents ,Returnees from internal displacement (HH), Returnees from internal displacement,Returnees between 2015-2018 (HH),Returnees between 2015-2018,Returnees in 2019 (HH),Returnees in 2019, Returnees from abroad (HH) ,Returnees from abroad,Returnees  from abroad between 2015-2018 (HH),Returnees  from abroad between 2015-2018,Returnees  from abroad during 2019 (HH) ,Returnees  from abroad during 2019, IDPs (HH) ,  IDPs (individuals)  , IDPs between 2015-2018 (HH) , IDPs between 2015-2018 , IDPs in 2019 (HH)  , IDPs during 2019 , Accesibility , Overall Reliability , Total_inflows , Current Population , IDPs ind (Sites) , IDPs ind (Rural and Urban) , IDPs ind Total , Residents ind (Rural and Urban) , Resident HH (Rural and Urban) , Rural IDPs (since 2015-2018 ind)  , Rural IDPs (since 2015-2018 HH) , Rural IDPs (since 2019 ind)  ,Rural IDPs (since 2019 HH), Urban IDPs (since 2015-2018 ind)  , Urban IDPs (since 2015-2018 HH) , Urban IDPs (since 2019 ind)  , Urban IDPs (since 2019 HH) , Urban IDPs (ind) , Rural IDPs (ind) 
Bakool,Bakool,Xudur,NB-3814-X09-003,Dayura,Urban, 43.88250 , 4.12364 ,0.00,0.00,0.00,0.00,0.00,0.00, 800 ," 4,800 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   ,0.00, -   ,0.00,No,Good, -   ," 4,800 ", -   , -   , -   ," 4,800 ", 800 , -   ,, -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,XUD - 011,Dhurshen,Site, 43.88317 , 4.11730 ,0.00,0.00,0.00,0.00,0.00,0.00,750.00," 4,500 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   ,0.00,0.00, -   ,0.00,No,Very Good, -   ," 4,500 "," 4,500 ", -   ," 4,500 ", -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,Xudur_Enum_4,Afgooye,Urban,,,0.00,0.00,0.00,0.00,0.00,0.00, 500 ," 3,000 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   ,0.00, -   ,0.00,No,Good, -   ," 3,000 ", -   , -   , -   ," 3,000 ", 500 , -   ,, -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NA-3802-C12-003,Asturow,Rural, 44.04104 , 3.91523 ,0.00,0.00,0.00,0.00,0.00,0.00, 130 , 780 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   , 780 , -   , -   , -   , 780 , 130 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NA-3802-B18-002,Barsi,Rural, 44.27782 , 3.93540 ,0.00,0.00,0.00,0.00,0.00,0.00, 80 , 480 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   , 480 , -   , -   , -   , 480 , 80 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3814-Z13-001,Ban Maroole,Rural, 44.07177 , 4.00508 ,0.00,0.00,0.00,0.00,0.00,0.00, 69 , 414 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Very Good, -   , 414 , -   , -   , -   , 414 , 69 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3814-X12-002,Buulo Fur,Rural, 44.02621 , 4.11604 ,0.00,0.00,0.00,0.00,0.00,0.00, 100 , 600 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   , 600 , -   , -   , -   , 600 , 100 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3814-U10-001,Dharilgada,Rural, 43.93100 , 4.22956 ,0.00,0.00,0.00,0.00,0.00,0.00, 250 ," 1,500 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Very Good, -   ," 1,500 ", -   , -   , -   ," 1,500 ", 250 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NA-3802-B16-001,Mubarak,Rural, 44.19080 , 3.95489 ,0.00,0.00,0.00,0.00,0.00,0.00, 280 ," 1,680 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   ," 1,680 ", -   , -   , -   ," 1,680 ", 280 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NA-3802-B13-004,Bal Maade,Rural, 44.07633 , 3.95440 ,0.00,0.00,0.00,0.00,0.00,0.00, 135 , 810 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   , 810 , -   , -   , -   , 810 , 135 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3814-Z16-002,Bilile,Rural, 44.20890 , 4.03501 ,0.00,0.00,0.00,0.00,0.00,0.00, 106 , 636 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Very Good, -   , 636 , -   , -   , -   , 636 , 106 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
